window_start,window_end,window_start_ms,window_end_ms,beta,alpha,se_beta,avg_depth,avg_mid_price,r_squared,n_obs
2025-10-31 11:49:46.377000+00:00,2025-10-31 13:40:01.959000+00:00,1761911386377,1761918001959,2.520013525972524e-08,-1.0588775925444355e-06,1.983966496640866e-09,10130217.427040001,0.9514770000000001,0.24469712674378716,500
2025-10-31 12:42:49.164000+00:00,2025-10-31 14:59:50.375000+00:00,1761914569164,1761922790375,2.198073748092855e-08,-1.2162399498050275e-05,1.534304902589447e-09,10102040.61184,0.951014,0.291848759124179,500
2025-10-31 13:40:10.768000+00:00,2025-10-31 15:47:12.230000+00:00,1761918010768,1761925632230,7.889294049765447e-08,-1.749030133331206e-05,6.978405607750323e-09,9982514.146919997,0.946914,0.2042309550950073,500
2025-10-31 15:00:07.410000+00:00,2025-10-31 16:53:30.224000+00:00,1761922807410,1761929610224,9.995001031607297e-08,-7.615486606887831e-06,9.785143417509373e-09,9897107.594379999,0.942067,0.17321798225974377,500
2025-10-31 15:47:18.695000+00:00,2025-10-31 18:12:41.490000+00:00,1761925638695,1761934361490,2.6324973580483617e-07,-4.866046527746502e-06,1.969617514868424e-08,9986279.893919999,0.940781,0.2640074437361201,500
2025-10-31 16:53:31.969000+00:00,2025-10-31 19:07:35.791000+00:00,1761929611969,1761937655791,1.4375778907377902e-07,-1.307354322474072e-05,9.11183878392065e-09,10277950.757399999,0.941475,0.3332572850369355,500
2025-10-31 18:12:44.232000+00:00,2025-10-31 19:54:59.522000+00:00,1761934364232,1761940499522,1.2874546831348468e-07,-1.2205213911282504e-05,8.002757167948842e-09,10441961.83166,0.941279,0.341976718912865,500
2025-10-31 19:07:52.666000+00:00,2025-10-31 21:31:39.206000+00:00,1761937672666,1761946299206,2.0822592059884586e-07,-4.261764081415388e-06,1.5929593047307548e-08,10506642.567979999,0.941644,0.2554582499284405,500
2025-10-31 19:55:22.889000+00:00,2025-10-31 23:28:20.539000+00:00,1761940522889,1761953300539,4.061419095174819e-08,5.071856302727486e-06,5.1822498236311785e-09,10550966.18324,0.9419529999999999,0.10979433503361063,500
2025-10-31 21:32:02.513000+00:00,2025-11-01 01:12:06.894000+00:00,1761946322513,1761959526894,2.4358821432538555e-08,7.667983938533084e-06,4.325222159101205e-09,10500564.438679999,0.9425690000000001,0.059875834366799496,500
2025-10-31 23:28:27.829000+00:00,2025-11-01 02:08:58.856000+00:00,1761953307829,1761962938856,3.969142859770949e-08,-4.364576321249615e-06,5.3301607952352324e-09,10210453.306259999,0.944839,0.10019206254677698,500
2025-11-01 01:12:37.096000+00:00,2025-11-01 03:12:10.444000+00:00,1761959557096,1761966730444,8.736566411003642e-08,3.6019053237729177e-06,6.691988313478834e-09,9867849.47536,0.942623,0.2549816137574714,500
2025-11-01 02:10:01.412000+00:00,2025-11-01 03:52:04.744000+00:00,1761963001412,1761969124744,1.2526085439516533e-07,1.0154033272649538e-05,9.669163377113145e-09,9782731.1435,0.940404,0.25205410838827946,500
2025-11-01 03:12:15.708000+00:00,2025-11-01 04:35:48.124000+00:00,1761966735708,1761971748124,1.6439043205447143e-07,1.3146379218630936e-05,1.9690301257318686e-08,9754888.00266,0.9440400000000001,0.12277997646319777,500
2025-11-01 03:52:19.909000+00:00,2025-11-01 05:41:59.980000+00:00,1761969139909,1761975719980,2.3054248230150675e-07,4.5987163581505855e-06,2.4988635128284413e-08,9724710.727219997,0.945458,0.1459691487337647,500
2025-11-01 04:35:51.442000+00:00,2025-11-01 06:09:28.325000+00:00,1761971751442,1761977368325,4.1748059957832716e-07,5.033094278002646e-07,3.0048979868284153e-08,9725372.783399997,0.943235,0.2793312288376278,500
2025-11-01 05:42:05.908000+00:00,2025-11-01 07:00:05.221000+00:00,1761975725908,1761980405221,3.037515667069062e-07,-4.992341734068214e-06,2.2483493635607007e-08,9806217.40252,0.941667,0.2682062143438391,500
2025-11-01 06:09:32.230000+00:00,2025-11-01 07:51:13.050000+00:00,1761977372230,1761983473050,2.6701797149832496e-07,-2.0893024305220427e-06,2.112802965073743e-08,10070423.883539999,0.942748,0.24284045929093576,500
2025-11-01 07:00:15.531000+00:00,2025-11-01 08:35:52.990000+00:00,1761980415531,1761986152990,3.347644307134235e-07,-6.29358766553392e-06,2.9211810942184644e-08,10484491.24614,0.944723,0.20868137778638038,500
2025-11-01 07:51:13.534000+00:00,2025-11-01 09:49:39.977000+00:00,1761983473534,1761990579977,3.4040897042809404e-07,-2.6296873847857823e-06,3.252883018195515e-08,10728561.988379998,0.9458639999999998,0.18026425974569812,500
2025-11-01 08:36:11.554000+00:00,2025-11-01 11:08:26.783000+00:00,1761986171554,1761995306783,1.3551443622548107e-07,2.1239469239492747e-06,1.791416061413919e-08,11097385.049779998,0.9460799999999999,0.10306470602206029,500
2025-11-01 09:50:04.861000+00:00,2025-11-01 11:53:32.780000+00:00,1761990604861,1761998012780,9.862966302287825e-08,-2.1734056104679646e-07,9.37190759777882e-09,11500775.780259999,0.9464130000000001,0.1819354513338347,500
2025-11-01 11:08:30.072000+00:00,2025-11-01 12:37:33.158000+00:00,1761995310072,1762000653158,1.178615434335541e-07,-1.805518626627947e-06,1.1277578462800693e-08,11239554.418579997,0.9466470000000001,0.17987243015205795,500
2025-11-01 11:54:08.645000+00:00,2025-11-01 13:12:45.834000+00:00,1761998048645,1762002765834,5.038055193365954e-07,-5.361638752442423e-06,3.1161935754286235e-08,10973889.09164,0.9465180000000002,0.34420425673774485,500
2025-11-01 12:37:34.392000+00:00,2025-11-01 13:49:12.630000+00:00,1762000654392,1762004952630,3.9268388388365807e-08,1.5328307723479668e-06,3.618552134211382e-09,11097771.619419998,0.9468990000000002,0.1912499980282993,500
2025-11-01 13:12:48.266000+00:00,2025-11-01 15:01:01.290000+00:00,1762002768266,1762009261290,4.731925702360067e-08,1.050612476577801e-06,4.14468878104811e-09,11454599.407759998,0.946969,0.20744086554577945,500
2025-11-01 13:49:18.405000+00:00,2025-11-01 16:08:45.748000+00:00,1762004958405,1762013325748,9.737418627222459e-08,-1.0659526073995054e-06,6.449274546583182e-09,11790474.564819997,0.9465480000000001,0.3140154140108379,500
2025-11-01 15:01:13.080000+00:00,2025-11-01 17:14:12.291000+00:00,1762009273080,1762017252291,7.342158319717438e-08,2.976893089245854e-07,4.353459931127184e-09,11804140.005259996,0.9457739999999999,0.3635229279238319,500
2025-11-01 16:08:45.790000+00:00,2025-11-01 18:53:02.675000+00:00,1762013325790,1762023182675,1.1920257826660432e-07,-4.0809267692451815e-06,7.227747170340275e-09,12177502.461259998,0.9438429999999999,0.35324490638889344,500
2025-11-01 17:14:54.023000+00:00,2025-11-01 20:03:23.961000+00:00,1762017294023,1762027403961,3.3758106213194915e-08,-3.979310654100402e-06,4.01948212990301e-09,12900536.954239998,0.9420069999999998,0.12406730298460991,500
2025-11-01 18:53:07.029000+00:00,2025-11-01 21:10:39.887000+00:00,1762023187029,1762031439887,3.210573188372845e-08,1.2943967595189983e-06,2.9212208060434004e-09,12966878.64462,0.9411469999999998,0.19520549485579675,500
2025-11-01 20:03:27.663000+00:00,2025-11-01 22:02:25.295000+00:00,1762027407663,1762034545295,3.4061938007074437e-08,-2.3654672530435538e-06,1.3818025213482945e-09,12526345.55796,0.9384739999999999,0.5495823657460498,500
2025-11-01 21:10:47.054000+00:00,2025-11-01 23:59:11.386000+00:00,1762031447054,1762041551386,3.613709601857254e-08,7.056588974594832e-06,1.6064992715413754e-09,12253207.533359999,0.93622,0.5039811376798567,500
2025-11-01 22:02:37.886000+00:00,2025-11-02 02:00:06.106000+00:00,1762034557886,1762048806106,5.575671234505744e-08,9.693777370240648e-06,3.407069243117985e-09,12249341.02694,0.934996,0.34971108792407957,500
2025-11-01 23:59:14.445000+00:00,2025-11-02 02:51:26.584000+00:00,1762041554445,1762051886584,4.992676749020881e-08,1.6193491439501045e-06,4.072680800082502e-09,12401403.826359998,0.9338480000000002,0.23181544950219785,500
2025-11-02 02:00:08.406000+00:00,2025-11-02 03:29:23.007000+00:00,1762048808406,1762054163007,8.011466337444254e-08,2.3303688373567903e-06,6.8801924158978046e-09,12642000.491779996,0.9342950000000001,0.21400088538742046,500
2025-11-02 02:51:45.097000+00:00,2025-11-02 05:12:29.397000+00:00,1762051905097,1762060349397,2.593253836632712e-07,3.7923837549044694e-06,1.553514439137664e-08,12805010.470339997,0.93493,0.3587847470696204,500
2025-11-02 03:29:36.953000+00:00,2025-11-02 06:33:26.319000+00:00,1762054176953,1762065206319,8.75784616616477e-08,2.7831861968022094e-06,4.95919314265814e-09,12755255.144719997,0.936527,0.3850859386394403,500
2025-11-02 05:12:49.917000+00:00,2025-11-02 07:10:44.747000+00:00,1762060369917,1762067444747,1.1978379837009754e-07,-1.02805467176498e-05,8.014651463425954e-09,12695986.184699997,0.938787,0.309647923665642,500
2025-11-02 06:33:38.472000+00:00,2025-11-02 07:42:27.731000+00:00,1762065218472,1762069347731,1.2101602557274723e-07,-1.3952920628883025e-05,9.042785924391713e-09,12642342.63846,0.939663,0.2645040001581895,500
2025-11-02 07:10:46.845000+00:00,2025-11-02 08:23:01.038000+00:00,1762067446845,1762071781038,9.352532256999028e-08,-4.367752018954998e-06,8.486366538564186e-09,12609921.604519997,0.939885,0.19606731492724686,500
2025-11-02 07:42:30.642000+00:00,2025-11-02 09:05:13.915000+00:00,1762069350642,1762074313915,2.909997196515925e-07,-1.9965490765315756e-07,1.7744195523759586e-08,12641505.100739999,0.940378,0.3506752560065037,500
2025-11-02 08:23:01.043000+00:00,2025-11-02 10:17:20.380000+00:00,1762071781043,1762078640380,2.4904770384243417e-08,-1.2996662594669825e-20,7.274383662850862e-24,12747342.6398,0.94061,1.0000000000000129,500
2025-11-02 09:05:20.167000+00:00,2025-11-02 11:17:53.484000+00:00,1762074320167,1762082273484,2.4904770384244138e-08,-7.06325991690885e-20,3.9766169394266134e-23,13076201.093879998,0.9411099999999998,1.0000000000000713,500
