time_window,outlier_method,r_squared,beta,p_value,n_windows,phase
1,IQR (1.5x),8.764004347510593e-08,-3.483953227074905e-08,0.9807521456841677,6644,Phase 3: Near Expiry
1,Pctl (1%-99%),0.0003079680126811261,-3.1158479054139254e-07,0.11355671285407277,8132,Phase 3: Near Expiry
1,Z-Score (3),0.0007433986478994599,-4.204061989176303e-07,0.013393662917655947,8227,Phase 3: Near Expiry
1,Winsorized,0.0019365775242470768,-6.252891898867139e-07,6.0707379323941256e-05,8298,Phase 3: Near Expiry
1,Abs (200k),0.00402657520076295,-5.678468083807688e-07,7.404657463909161e-09,8287,Phase 3: Near Expiry
1,Abs (100k),0.0034680909622608453,-7.049015906234144e-07,8.398802111205664e-08,8267,Phase 3: Near Expiry
1,MAD (3),0.0001708747320923316,-2.71441210221616e-06,0.31554882137385265,5897,Phase 3: Near Expiry
1,Pctl (5%-95%),2.4674287408899626e-05,1.9913422473805793e-07,0.6677814759451949,7468,Phase 3: Near Expiry
5,Raw,8.457127042554896e-06,1.0370850803342102e-08,0.9023632795201924,1782,Phase 3: Near Expiry
5,IQR (1.5x),0.00012867491108685975,2.192243833619935e-07,0.6563570272779597,1541,Phase 3: Near Expiry
5,Pctl (1%-99%),0.0012339776563038663,-2.6488661830960573e-07,0.1423130509215227,1746,Phase 3: Near Expiry
5,Z-Score (3),0.00817648738852158,-6.811151816887879e-07,0.00014426104201433883,1762,Phase 3: Near Expiry
5,Winsorized,0.002954342152072509,-3.602208856145585e-07,0.02175800246769692,1782,Phase 3: Near Expiry
5,Abs (200k),0.010192705070461784,-6.835700058621539e-07,2.098427675360673e-05,1769,Phase 3: Near Expiry
5,Abs (100k),0.003651293532454168,-5.303770116023797e-07,0.01155642946138765,1746,Phase 3: Near Expiry
5,MAD (3),0.002719856483689226,1.446061344364723e-06,0.05190144223373095,1390,Phase 3: Near Expiry
5,Pctl (5%-95%),0.002868287563774531,-6.897832654060688e-07,0.032076217754847314,1602,Phase 3: Near Expiry
10,Raw,0.0020880695250889494,1.3361864624407338e-07,0.17270790458350105,892,Phase 3: Near Expiry
10,IQR (1.5x),0.0022540193958692696,-5.339146669784963e-07,0.18362754616618016,786,Phase 3: Near Expiry
10,Pctl (1%-99%),0.01935555284928968,-8.035057466194597e-07,3.672091357090598e-05,874,Phase 3: Near Expiry
10,Z-Score (3),0.031162908664517618,-1.0259624002141915e-06,1.3367332670717444e-07,881,Phase 3: Near Expiry
10,Winsorized,0.007182209936936079,-4.377755755443355e-07,0.011337520174722277,892,Phase 3: Near Expiry
10,Abs (200k),0.01700834052817242,-7.90191992600131e-07,0.00010643953415445709,878,Phase 3: Near Expiry
10,Abs (100k),0.0021847573431971632,-3.822696894798653e-07,0.17412729400091054,847,Phase 3: Near Expiry
10,MAD (3),0.0015597256813210771,-5.43908237300969e-07,0.2869182777023709,729,Phase 3: Near Expiry
10,Pctl (5%-95%),0.0002856608009750682,1.4775613005625165e-07,0.63269898549199,802,Phase 3: Near Expiry
15,Raw,0.0019416923649390645,1.1249826682260148e-07,0.2828144953996679,596,Phase 3: Near Expiry
15,IQR (1.5x),1.0843102304412406e-05,3.012778185411656e-08,0.9396001758462627,532,Phase 3: Near Expiry
15,Pctl (1%-99%),0.020128412610004594,-7.182467640037891e-07,0.0005846907139421067,584,Phase 3: Near Expiry
15,Z-Score (3),0.03518014378567818,-9.91778430205183e-07,4.66755087876559e-06,588,Phase 3: Near Expiry
15,Winsorized,0.004503935420429375,-3.0479453179806686e-07,0.10167155891604499,596,Phase 3: Near Expiry
15,Abs (200k),0.0047137729375115525,-4.400992062652362e-07,0.09914818437537985,578,Phase 3: Near Expiry
15,Abs (100k),0.00019702427848714005,-1.1711764787765215e-07,0.7421159987489729,552,Phase 3: Near Expiry
15,MAD (3),0.0024813133484429973,5.370908787764788e-07,0.2657655974023621,501,Phase 3: Near Expiry
15,Pctl (5%-95%),0.0002724998192116235,1.2640907574278703e-07,0.7029720514103328,536,Phase 3: Near Expiry
20,Raw,0.01739008240169531,3.132989368822761e-07,0.005180134215375624,448,Phase 3: Near Expiry
20,IQR (1.5x),0.0005225325089025932,-1.7663044633647208e-07,0.6468835798772463,404,Phase 3: Near Expiry
20,Pctl (1%-99%),0.03536163469496805,-8.364308432147724e-07,7.505545233106933e-05,438,Phase 3: Near Expiry
20,Z-Score (3),0.030678679561760475,-8.286833531389649e-07,0.0002186840001737864,441,Phase 3: Near Expiry
20,Winsorized,0.0022212634784147985,-1.7711152874869138e-07,0.31957760331444784,448,Phase 3: Near Expiry
20,Abs (200k),0.0073381067826033845,-5.225963370199749e-07,0.07599159353118572,430,Phase 3: Near Expiry
20,Abs (100k),0.0031381168279664405,-4.516343820000533e-07,0.26427544813485737,399,Phase 3: Near Expiry
20,MAD (3),0.0008613448407343324,-2.7513679284761054e-07,0.5684409363251186,380,Phase 3: Near Expiry
20,Pctl (5%-95%),0.002363536724418111,-3.0780139293443686e-07,0.3309053568714555,402,Phase 3: Near Expiry
30,Raw,0.03292599808736516,3.600420306779836e-07,0.0016586562927092992,298,Phase 3: Near Expiry
30,IQR (1.5x),0.0006205921502175832,-1.529576509766442e-07,0.6814096146898025,274,Phase 3: Near Expiry
30,Pctl (1%-99%),0.01076139858898159,-4.1524034943160124e-07,0.07675449399505739,292,Phase 3: Near Expiry
30,Z-Score (3),0.010548584191477906,-3.875094147114238e-07,0.07820294264794679,295,Phase 3: Near Expiry
30,Winsorized,9.83032413336397e-05,-3.60653482623273e-08,0.8646634615205036,298,Phase 3: Near Expiry
30,Abs (200k),0.004450295488773268,-3.717503650639278e-07,0.2659116950132485,280,Phase 3: Near Expiry
30,Abs (100k),0.0005809656155300843,-1.9412899434327594e-07,0.7090955567796084,242,Phase 3: Near Expiry
30,MAD (3),0.0019936036168889323,-3.505636920736851e-07,0.47866956813609296,254,Phase 3: Near Expiry
30,Pctl (5%-95%),0.003753464149817611,-3.3420782748717913e-07,0.31769263138915527,268,Phase 3: Near Expiry
45,Raw,0.03365134379572068,3.644528743476384e-07,0.009319187439444968,200,Phase 3: Near Expiry
45,IQR (1.5x),0.0069016168332969785,-4.046287424654907e-07,0.25831418992076527,187,Phase 3: Near Expiry
45,Pctl (1%-99%),0.09859538212410103,-1.0607233790290783e-06,7.403594721078761e-06,196,Phase 3: Near Expiry
45,Z-Score (3),0.12772481142486028,-1.5106313442394244e-06,2.714719970230211e-07,196,Phase 3: Near Expiry
45,Winsorized,1.7119745278816695e-05,-1.284933549581147e-08,0.953630743461662,200,Phase 3: Near Expiry
45,Abs (200k),0.014570696218588626,-6.92208150318129e-07,0.108496247826938,178,Phase 3: Near Expiry
45,Abs (100k),0.005928260306350517,7.975741219827369e-07,0.36071396493279506,143,Phase 3: Near Expiry
45,MAD (3),0.005891097051925698,-4.629433380819882e-07,0.3127028895698057,175,Phase 3: Near Expiry
45,Pctl (5%-95%),0.06874102675923399,-1.374765438324697e-06,0.00037729045160017887,180,Phase 3: Near Expiry
60,Raw,0.06209349668244561,4.4473282823421734e-07,0.0021049225439163863,150,Phase 3: Near Expiry
60,IQR (1.5x),0.0008761579230317932,-1.2742563817663372e-07,0.7294156914626533,139,Phase 3: Near Expiry
60,Pctl (1%-99%),0.07697929359623518,-8.679096936895037e-07,0.000697759519186819,146,Phase 3: Near Expiry
60,Z-Score (3),0.07094322116505684,-7.966967009855858e-07,0.0010673279683692217,148,Phase 3: Near Expiry
60,Winsorized,0.006282115464046007,2.3411250810298146e-07,0.3349820123816948,150,Phase 3: Near Expiry
60,Abs (200k),1.4281038732617124e-05,2.285297272401985e-08,0.96718592710036,121,Phase 3: Near Expiry
60,Abs (100k),0.013182367057237871,-1.050317927152953e-06,0.25779084980470357,99,Phase 3: Near Expiry
60,MAD (3),0.00428648715932058,3.408380258636794e-07,0.45575564039603755,132,Phase 3: Near Expiry
60,Pctl (5%-95%),0.04853470708366591,-1.0226479674318024e-06,0.010532441943746656,134,Phase 3: Near Expiry
90,Raw,0.035658299016907966,3.679299720896488e-07,0.05989513023922126,100,Phase 3: Near Expiry
90,IQR (1.5x),0.013898724537412518,-4.1808492938276284e-07,0.2577724414551999,94,Phase 3: Near Expiry
90,Pctl (1%-99%),0.0050729380068860455,-1.9562987667603265e-07,0.48584889539596776,98,Phase 3: Near Expiry
90,Z-Score (3),0.008129297624985196,-2.7901000055567204e-07,0.37728364477015586,98,Phase 3: Near Expiry
90,Winsorized,0.005477798148108604,1.9426009880984098e-07,0.46427790811052994,100,Phase 3: Near Expiry
90,Abs (200k),0.1146285474076596,-2.081375889542393e-06,0.004433642452396022,69,Phase 3: Near Expiry
90,Abs (100k),0.01401942411247633,-1.3569584270446358e-06,0.3984385065054935,53,Phase 3: Near Expiry
90,MAD (3),0.03167649553826048,-8.231047319442853e-07,0.10111445919160843,86,Phase 3: Near Expiry
90,Pctl (5%-95%),0.08644662241253456,-1.1865062744922476e-06,0.004911748845025613,90,Phase 3: Near Expiry
