level_config,time_window,outlier_method,q_exponent,r2,beta,p_value,n_obs,std_err
L10,60,Abs (100k),0.5,0.6978346619707887,5.1356628476719317e-05,4.21705861852969e-121,460,1.579100675268709e-06
L10,60,Raw,0.5,0.6978346619707887,5.1356628476719317e-05,4.21705861852969e-121,460,1.579100675268709e-06
L10,60,Abs (200k),0.5,0.6978346619707887,5.1356628476719317e-05,4.21705861852969e-121,460,1.579100675268709e-06
ALL,60,Winsorized,0.3,0.6977061842896761,8.78776366873965e-05,4.648651529156802e-121,460,2.702862637032929e-06
L10,90,Pctl (1%-99%),0.3,0.6973007714583341,0.00038099172074412845,1.421014860233539e-79,301,1.4516954922085515e-05
L2,60,Pctl (1%-99%),0.3,0.6967836756023194,0.0020005791526527543,3.6869599552359627e-118,450,6.235108821384637e-05
ALL,30,Abs (100k),0.3,0.6955396393871996,8.4639520953494e-05,2.7520148820655006e-239,920,1.8482311768445447e-06
ALL,30,Abs (200k),0.3,0.6955396393871996,8.4639520953494e-05,2.7520148820655006e-239,920,1.8482311768445447e-06
ALL,30,Raw,0.3,0.6955396393871996,8.4639520953494e-05,2.7520148820655006e-239,920,1.8482311768445447e-06
L2,90,Winsorized,0.5,0.6955352204387286,0.0003004023116695557,2.878613684030721e-81,309,1.134339485128217e-05
L3,10,Abs (200k),0.3,0.6939824477519553,0.0014023837349107996,0.0,2747,1.7774386395479844e-05
L3,10,Abs (100k),0.3,0.6939824477519553,0.0014023837349107996,0.0,2747,1.7774386395479844e-05
L3,10,Raw,0.3,0.6939824477519553,0.0014023837349107996,0.0,2747,1.7774386395479844e-05
L3,90,Z-Score (3),0.3,0.6937869841062538,0.0012898081007572937,2.4412459804770392e-79,303,4.939017920193616e-05
L3,90,Abs (200k),0.5,0.6937577205054684,0.00018398568416484235,7.043611606651722e-81,309,6.976594867249269e-06
L3,90,Abs (100k),0.5,0.6937577205054684,0.00018398568416484235,7.043611606651722e-81,309,6.976594867249269e-06
L3,90,Raw,0.5,0.6937577205054684,0.00018398568416484235,7.043611606651722e-81,309,6.976594867249269e-06
L3,60,Abs (100k),0.5,0.6936415293572601,0.0001939713457732789,9.929609827050157e-120,460,6.023546160039037e-06
L3,60,Abs (200k),0.5,0.6936415293572601,0.0001939713457732789,9.929609827050157e-120,460,6.023546160039037e-06
L3,60,Raw,0.5,0.6936415293572601,0.0001939713457732789,9.929609827050157e-120,460,6.023546160039037e-06
L5,60,Abs (200k),0.5,0.6936206473081069,0.00011220491854004926,1.0085963875412131e-119,460,3.484559596495035e-06
L5,60,Abs (100k),0.5,0.6936206473081069,0.00011220491854004926,1.0085963875412131e-119,460,3.484559596495035e-06
L5,60,Raw,0.5,0.6936206473081069,0.00011220491854004926,1.0085963875412131e-119,460,3.484559596495035e-06
ALL,45,Abs (100k),0.3,0.6929127936272539,8.45898206122827e-05,2.7108113230139903e-159,615,2.2744659442070345e-06
ALL,45,Raw,0.3,0.6929127936272539,8.45898206122827e-05,2.7108113230139903e-159,615,2.2744659442070345e-06
ALL,45,Abs (200k),0.3,0.6929127936272539,8.45898206122827e-05,2.7108113230139903e-159,615,2.2744659442070345e-06
L3,60,Pctl (1%-99%),0.3,0.6920176293730995,0.0013115435974833355,1.2172050560035065e-116,450,4.133786801366579e-05
L3,60,Z-Score (3),0.3,0.6911335529802952,0.0012995249210249655,7.133422835738682e-117,452,4.0952718195007104e-05
L20,90,Abs (100k),0.5,0.6902476920784192,2.43654139564239e-05,7.308324938086e-80,308,9.33077838963795e-07
L10,90,Abs (100k),0.5,0.6901889597371198,4.987620598626047e-05,4.1809713310567366e-80,309,1.9071667350228344e-06
L10,90,Abs (200k),0.5,0.6901889597371198,4.987620598626047e-05,4.1809713310567366e-80,309,1.9071667350228344e-06
L10,90,Raw,0.5,0.6901889597371198,4.987620598626047e-05,4.1809713310567366e-80,309,1.9071667350228344e-06
L20,60,Pctl (1%-99%),0.3,0.6901636588910409,0.000176959201078947,4.675177131202579e-116,450,5.601757133528214e-06
L20,45,Raw,0.5,0.6882499037749985,2.52691833719468e-05,2.7577956292946577e-157,615,6.868963175860997e-07
L20,45,Abs (200k),0.5,0.6882499037749985,2.52691833719468e-05,2.7577956292946577e-157,615,6.868963175860997e-07
L20,45,Abs (100k),0.5,0.6882499037749985,2.52691833719468e-05,2.7577956292946577e-157,615,6.868963175860997e-07
L10,30,Winsorized,0.3,0.6882193638150012,0.0004237785024574532,1.506878238888593e-234,920,9.41409782452381e-06
L50pct,60,Winsorized,0.5,0.687684823763859,2.1631258930845647e-05,8.202854930886257e-118,460,6.81162735632493e-07
L50pct,30,Winsorized,0.3,0.6875451046324108,0.00016859474733654534,4.063699546605675e-234,920,3.751161555257818e-06
ALL,20,Abs (100k),0.3,0.6875225243547994,7.873522961718712e-05,0.0,1376,1.4319954079249364e-06
ALL,20,Abs (200k),0.3,0.6875225243547994,7.873522961718712e-05,0.0,1376,1.4319954079249364e-06
ALL,20,Raw,0.3,0.6875225243547994,7.873522961718712e-05,0.0,1376,1.4319954079249364e-06
L2,60,Z-Score (3),0.3,0.6874772751430633,0.0019506432041100706,1.8089599124254023e-115,451,6.206779201345063e-05
L2,90,Abs (200k),0.5,0.6874306423814893,0.00027405188734556403,1.6331965580960153e-79,309,1.0546840207721637e-05
