time_window,outlier_method,phase,r_squared,beta,p_value,n_obs
15,MAD (3),Phase 1 (Early),0.0782441136273461,3.164600264645144e-06,3.650025057177499e-11,540
15,MAD (3),Phase 2 (Middle),0.13620262834757585,3.5543731300038103e-06,7.229200007477234e-19,540
15,MAD (3),Phase 3 (Near Expiry),0.2305829564599519,3.882068170397394e-06,1.4876391270489977e-32,541
15,Pctl (5%-95%),Phase 1 (Early),0.07545749946420621,3.010874182923753e-06,5.601139889711964e-11,550
15,Pctl (5%-95%),Phase 2 (Middle),0.15894305855327168,3.76542765291741e-06,2.1370152818611013e-22,550
15,Pctl (5%-95%),Phase 3 (Near Expiry),0.2265451689663369,3.529286185925525e-06,1.6870329391902509e-32,551
20,Raw,Phase 1 (Early),0.09899428580726666,2.406232209216948e-06,5.5469514010023045e-12,458
20,Raw,Phase 2 (Middle),0.3128243618679592,2.7956894527723077e-06,4.7201800088312816e-39,458
20,Raw,Phase 3 (Near Expiry),0.19696068549748114,9.881335430411e-07,1.2736247918473784e-23,460
20,IQR (1.5x),Phase 1 (Early),0.08158635081341631,3.2416048086260337e-06,7.483209867539908e-09,395
20,IQR (1.5x),Phase 2 (Middle),0.16508256631006377,3.955823751377945e-06,3.9190114281404143e-17,395
20,IQR (1.5x),Phase 3 (Near Expiry),0.2217523161410433,3.549959042006068e-06,3.002123484848363e-23,396
20,Pctl (1%-99%),Phase 1 (Early),0.09354924217487119,2.37624193664753e-06,3.536226999105435e-11,449
20,Pctl (1%-99%),Phase 2 (Middle),0.19895071326651775,2.560738713861614e-06,2.461495939598381e-23,449
20,Pctl (1%-99%),Phase 3 (Near Expiry),0.34979822181577447,2.8228951151149846e-06,8.417057562548585e-44,450
20,Z-Score (3),Phase 1 (Early),0.09324074594349313,2.3664523651439334e-06,3.1288318924890154e-11,453
20,Z-Score (3),Phase 2 (Middle),0.17940679453960157,2.138471705273654e-06,3.795393332686869e-21,453
20,Z-Score (3),Phase 3 (Near Expiry),0.4202714333226045,3.0246425387762677e-06,1.3519925682992231e-55,455
20,Winsorized,Phase 1 (Early),0.09899428580726666,2.406232209216948e-06,5.5469514010023045e-12,458
20,Winsorized,Phase 2 (Middle),0.2343737668592996,2.8508127667399305e-06,2.754559858263565e-28,458
20,Winsorized,Phase 3 (Near Expiry),0.41920651665602826,2.9643087206004282e-06,5.2448750088166125e-56,460
20,Abs (200k),Phase 1 (Early),0.09355811150515098,2.373795571439574e-06,3.1913910952391935e-11,451
20,Abs (200k),Phase 2 (Middle),0.19949815361439896,2.456687418256256e-06,1.685266373441548e-23,451
20,Abs (200k),Phase 3 (Near Expiry),0.3754773819903929,2.7898726728713713e-06,4.8067503742582457e-48,453
20,Abs (100k),Phase 1 (Early),0.09781037106287739,2.9278788218772594e-06,3.455269240841141e-11,429
20,Abs (100k),Phase 2 (Middle),0.17948751006967031,3.100086274164806e-06,4.0938598593854024e-20,429
20,Abs (100k),Phase 3 (Near Expiry),0.3202185856198412,3.3666882922252953e-06,1.1027270243303982e-37,429
20,MAD (3),Phase 1 (Early),0.08631581601323644,3.2189363702905202e-06,1.8235918571068789e-09,403
20,MAD (3),Phase 2 (Middle),0.17362861514976052,3.820366714837904e-06,2.338523082235672e-18,403
20,MAD (3),Phase 3 (Near Expiry),0.257267094137786,3.6767699164370337e-06,8.48555648733307e-28,404
20,Pctl (5%-95%),Phase 1 (Early),0.09423269024725722,3.134905180346179e-06,1.9363855064942756e-10,412
20,Pctl (5%-95%),Phase 2 (Middle),0.16104102171286386,3.3912344172019048e-06,2.2559797532020653e-17,412
20,Pctl (5%-95%),Phase 3 (Near Expiry),0.26082372656155967,3.368277874891375e-06,7.002000856059373e-29,414
30,Raw,Phase 1 (Early),0.10157239820884685,2.442651560252729e-06,1.1869373191900444e-08,306
30,Raw,Phase 2 (Middle),0.3199198226252969,2.7568305880158167e-06,2.843128657473809e-27,306
30,Raw,Phase 3 (Near Expiry),0.13752360146575549,8.347613654577821e-07,1.780021394291116e-11,308
30,IQR (1.5x),Phase 1 (Early),0.08032797882095039,2.883835028042907e-06,3.0038047701439855e-06,263
30,IQR (1.5x),Phase 2 (Middle),0.13073347770578836,3.4221496079245977e-06,1.5279413605105361e-09,263
30,IQR (1.5x),Phase 3 (Near Expiry),0.22345716102139215,3.765247652587957e-06,3.699847800124929e-16,265
30,Pctl (1%-99%),Phase 1 (Early),0.1011337554014585,2.482248858481769e-06,1.7805344406611023e-08,300
30,Pctl (1%-99%),Phase 2 (Middle),0.21110569018724193,2.7528127967950924e-06,4.495420544275468e-17,300
30,Pctl (1%-99%),Phase 3 (Near Expiry),0.2805106622702787,2.4079231757676636e-06,4.3001681139453526e-23,300
30,Z-Score (3),Phase 1 (Early),0.10054245846611275,2.470394315004585e-06,1.7656699296808706e-08,302
30,Z-Score (3),Phase 2 (Middle),0.24937826847934935,2.843934790746748e-06,1.8772922901901005e-20,302
30,Z-Score (3),Phase 3 (Near Expiry),0.34688889153150465,2.554120711599138e-06,1.3750421849807792e-29,302
30,Winsorized,Phase 1 (Early),0.10157239820884685,2.442651560252729e-06,1.1869373191900444e-08,306
30,Winsorized,Phase 2 (Middle),0.2896021874643999,3.0422483276138604e-06,2.2598309719988256e-24,306
30,Winsorized,Phase 3 (Near Expiry),0.3393556302239504,2.4141882876419575e-06,2.2169591323700883e-29,308
30,Abs (200k),Phase 1 (Early),0.10151037518954399,2.4865838766476164e-06,1.8644138348991195e-08,298
30,Abs (200k),Phase 2 (Middle),0.2260508943845951,3.0653116921371242e-06,3.2614070353616984e-18,298
30,Abs (200k),Phase 3 (Near Expiry),0.3025425006022326,2.653195209962583e-06,4.829498123425589e-25,299
30,Abs (100k),Phase 1 (Early),0.09436985178175941,2.8604896287459722e-06,1.6472120297745614e-07,279
30,Abs (100k),Phase 2 (Middle),0.19976261413245094,3.849264943085768e-06,4.167083288323901e-15,279
