time_window,outlier_method,phase,beta,r_squared,p_value,avg_depth_l1,avg_depth_l2,n_obs
30,Pctl (5%-95%),Phase 1 (Early),2.8643200415612157e-06,0.08712802661175671,5.937155093443681e-07,17205.83071814628,6039910.856729507,276
30,Pctl (5%-95%),Phase 2 (Middle),3.5182237110599663e-06,0.17019548381653754,9.109962068268404e-13,19723.556964813873,5124535.342182925,276
30,Pctl (5%-95%),Phase 3 (Near Expiry),3.0939282609630275e-06,0.22822611229895487,3.8411257009516315e-17,17981.398559227982,5576051.442497528,276
45,Raw,Phase 1 (Early),2.955823246099617e-06,0.14836828571181956,1.177964498459117e-08,16910.82540458539,5866483.197629923,205
45,Raw,Phase 2 (Middle),2.7136766577221107e-06,0.3719983092036242,2.8307586210944065e-22,20811.560431844067,5148245.391987805,205
45,Raw,Phase 3 (Near Expiry),8.055109240404953e-07,0.16362244899743747,1.796161378081627e-09,21920.648423661347,5696789.833164987,205
45,IQR (1.5x),Phase 1 (Early),3.2442344286219993e-06,0.1170556743359707,2.949274086367068e-06,16181.740177743919,6145638.070349747,178
45,IQR (1.5x),Phase 2 (Middle),2.914417232431314e-06,0.17335520165992305,7.451007936195128e-09,20771.921818052855,3651999.426943767,178
45,IQR (1.5x),Phase 3 (Near Expiry),3.821463113931498e-06,0.24109826109234328,3.4389638792948505e-12,16492.635731049788,7070083.810707949,178
45,Pctl (1%-99%),Phase 1 (Early),2.987546675840183e-06,0.14869355794479097,1.7130260222636564e-08,16805.376209158017,5919247.413399574,200
45,Pctl (1%-99%),Phase 2 (Middle),2.8658382973348208e-06,0.26084741163641223,1.105581251510032e-14,20675.45890942307,5163797.516541081,200
45,Pctl (1%-99%),Phase 3 (Near Expiry),2.6348335399671905e-06,0.41424039647919947,6.736275258994138e-25,18917.158180541788,5677731.18961816,201
45,Z-Score (3),Phase 1 (Early),2.980149871321068e-06,0.1481497322707452,1.5497615628099194e-08,16757.443462598236,5897561.98152468,202
45,Z-Score (3),Phase 2 (Middle),2.4722169928957183e-06,0.27287044186885984,1.5435850302039034e-15,20950.273751077122,5154006.802603425,202
45,Z-Score (3),Phase 3 (Near Expiry),2.685061415865452e-06,0.4428149054510767,2.494523464164005e-27,19384.60274450138,5678610.779292396,203
45,Winsorized,Phase 1 (Early),2.955823246099617e-06,0.14836828571181956,1.177964498459117e-08,16910.82540458539,5866483.197629923,205
45,Winsorized,Phase 2 (Middle),2.9444476847009544e-06,0.3378329813192619,6.418795376205505e-20,20811.560431844067,5148245.391987805,205
45,Winsorized,Phase 3 (Near Expiry),2.5897738840877563e-06,0.4310238320953823,1.1740913390921918e-26,21920.648423661347,5696789.833164987,205
45,Abs (200k),Phase 1 (Early),2.9663942677914927e-06,0.14673126962247554,3.258427557757013e-08,16895.523874430524,5976222.85889384,195
45,Abs (200k),Phase 2 (Middle),3.946757001869174e-06,0.3229069335242948,4.540205614057395e-18,19886.427187952944,5174096.813405204,195
