mid_price_method,time_window,outlier_method,r_squared,beta,p_value,n_windows,std_err
vwap,20,Raw,0.009830979742814766,3.584563098661647e-07,0.00015580204054284862,1450,9.453839289298569e-08
vwap,20,IQR (1.5x),2.0273561323930676e-05,8.801516490636318e-08,0.8724434373487738,1274,5.480807217612622e-07
vwap,20,Pctl (1%-99%),0.008430970485665844,-7.59553380058061e-07,0.0005315580274250433,1420,2.187473888481103e-07
vwap,20,Z-Score (3),0.01251381307161019,-8.929366807236325e-07,2.1498164366965703e-05,1436,2.0946755862822715e-07
vwap,20,Winsorized,0.003911019238045175,-4.488960005777811e-07,0.01723483674017207,1450,1.8826324793989155e-07
vwap,20,Abs (200k),0.007150142205967563,-7.227577909421719e-07,0.0013663484667645225,1431,2.2529996108852837e-07
vwap,20,Abs (100k),0.0020326690068894135,-5.194776072087716e-07,0.09314691248927935,1388,3.091790411441418e-07
vwap,20,MAD (3),0.0021578114167295384,1.111265707193156e-06,0.10586731291277907,1213,6.867047139256864e-07
vwap,20,Pctl (5%-95%),1.3527551463564969e-05,-4.7179322431735365e-08,0.8944397661573726,1304,3.554951437671707e-07
vwap,30,Raw,0.0220903158387309,4.511996352739066e-07,3.496743439927256e-06,966,9.668934846699383e-08
vwap,30,IQR (1.5x),0.002963836524575844,8.846316072055375e-07,0.11209125031379585,853,5.561936225822647e-07
vwap,30,Pctl (1%-99%),0.013636578714308923,-8.5496210313674e-07,0.0003191274498390912,946,2.3666096708701677e-07
vwap,30,Z-Score (3),0.014276140672378168,-8.393324072079371e-07,0.00021326895940743579,956,2.2580420722130314e-07
vwap,30,Winsorized,0.0008932470006049374,-1.8626839981905672e-07,0.35345110390819645,966,2.0064152987963714e-07
vwap,30,Abs (200k),0.00034889565954670886,-1.5441522071131656e-07,0.5663124911265055,945,2.691601129621656e-07
vwap,30,Abs (100k),0.0007806525743315164,3.519543534706986e-07,0.4040555042879035,894,4.216046900999016e-07
vwap,30,MAD (3),1.5665671961672272e-05,-5.2171069435012e-08,0.9097884101253677,822,4.603041571673261e-07
vwap,30,Pctl (5%-95%),0.001373497033765567,4.1165620085488145e-07,0.2754144755479152,868,3.7719280213357435e-07
vwap,45,Raw,0.029600026328737265,4.983385648466612e-07,1.1140208283614463e-05,645,1.1252482599888208e-07
vwap,45,IQR (1.5x),0.015412397598866255,1.6222648209597497e-06,0.0030917406590922165,566,5.45976912150391e-07
vwap,45,Pctl (1%-99%),0.0021500160887707345,-2.9142000700122483e-07,0.24479959657875808,631,2.503259159861702e-07
vwap,45,Z-Score (3),0.007366702686634522,-5.10630969824584e-07,0.02992387636213312,640,2.346684259573129e-07
vwap,45,Winsorized,0.0006647970585957159,-1.4900983157265084e-07,0.5133294480028104,645,2.278350234664684e-07
vwap,45,Abs (200k),0.00027994682996192166,1.3239242845184933e-07,0.6778012881897293,619,3.1850920729351676e-07
vwap,45,Abs (100k),0.016270208068943182,1.6214206924724207e-06,0.0023004458677436295,569,5.294750990826893e-07
vwap,45,MAD (3),0.011994192627486012,1.5451293612911813e-06,0.009755921999749588,556,5.958050801192904e-07
vwap,45,Pctl (5%-95%),0.0006877290133909987,2.3678343002051253e-07,0.5288439911776931,579,3.7575549277164604e-07
vwap,60,Raw,0.05091761534015241,5.496691897064878e-07,5.412605027807701e-07,483,1.0820486428945713e-07
vwap,60,IQR (1.5x),0.0050017284694750756,8.73684890160856e-07,0.14648218420786238,423,6.005717288546177e-07
vwap,60,Pctl (1%-99%),0.007282635797815807,-4.3149390059600676e-07,0.06367336875852309,473,2.3213077479614647e-07
vwap,60,Z-Score (3),0.007521247431729449,-4.474387769620922e-07,0.058397365463488234,477,2.3583186488846548e-07
vwap,60,Winsorized,0.002055315684454696,1.9263921490598447e-07,0.3200857215220224,483,1.9354685905024604e-07
vwap,60,Abs (200k),1.5719530720280646e-05,-3.385494901374051e-08,0.933158025045058,450,4.034223502971499e-07
vwap,60,Abs (100k),0.0046317026468917335,9.043375254790024e-07,0.1669215522716866,414,6.531358333115127e-07
vwap,60,MAD (3),0.010677480828513905,1.3673020994631728e-06,0.03512914615085929,416,6.468429621844117e-07
vwap,60,Pctl (5%-95%),0.0016489463794735321,-3.3103582507449107e-07,0.39929183441697724,433,3.9235097362524497e-07
vwap,90,Raw,0.03716957120859404,4.924196450598288e-07,0.0005036545300990608,322,1.4010108852815307e-07
vwap,90,IQR (1.5x),9.762138408584426e-07,-9.384706439147841e-09,0.9868445436195992,281,5.686511189646546e-07
vwap,90,Pctl (1%-99%),2.7967516473962354e-05,2.3381973744139317e-08,0.9256349070855867,314,2.503057619652197e-07
vwap,90,Z-Score (3),0.0009029094833559058,-1.441315236543695e-07,0.5940305281948646,317,2.701378510316571e-07
vwap,90,Winsorized,0.003798890916475449,2.2609527579059623e-07,0.27013545593365135,322,2.046734912485603e-07
vwap,90,Abs (200k),1.553615609280857e-05,3.4963436946793987e-08,0.9472725693706667,284,5.282194660966035e-07
vwap,90,Abs (100k),0.015889091733275722,1.693581155152319e-06,0.045603522519921634,252,8.429629655237452e-07
vwap,90,MAD (3),4.2971606955953934e-05,6.455344449165164e-08,0.913199128131989,279,5.91669806492003e-07
vwap,90,Pctl (5%-95%),0.0064990590929823846,-5.809677127703665e-07,0.17244697248622845,288,4.247446126326921e-07
vwap,120,Raw,0.03602699091837726,4.514374750321882e-07,0.003094130848174378,241,1.5104873749031134e-07
vwap,120,IQR (1.5x),0.0007413242225965325,-2.1263762389507121e-07,0.6893268365969669,218,5.311878141570076e-07
vwap,120,Pctl (1%-99%),0.0056008099259734845,-2.752724703791034e-07,0.2531468725976433,235,2.402922608772038e-07
vwap,120,Z-Score (3),0.0009669880827302445,1.3913928444396545e-07,0.6345795888825703,236,2.923621827096743e-07
vwap,120,Winsorized,0.00648470766549225,2.4000694816984825e-07,0.21289285144970985,241,1.9216174815853244e-07
vwap,120,Abs (200k),0.004497028712803318,-6.653790067152381e-07,0.3430005411573894,202,7.000233822683282e-07
vwap,120,Abs (100k),0.004784292925489062,1.0044151656567698e-06,0.3715419307140865,169,1.1209977882089115e-06
vwap,120,MAD (3),0.007440451278609512,-7.949050366195481e-07,0.21428996808599632,209,6.381293549277615e-07
vwap,120,Pctl (5%-95%),0.004963762756063517,-4.3513406505621687e-07,0.30380204592800436,215,4.221309768440279e-07
vwap,180,Raw,0.026698209181455688,3.491293127979558e-07,0.03774905245354199,162,1.6665141970047678e-07
vwap,180,IQR (1.5x),0.013159499822443545,-7.250487514860679e-07,0.17096642760143702,144,5.268983371053113e-07
vwap,180,Pctl (1%-99%),5.615738269409204e-06,6.376019722039446e-09,0.9764252435117208,158,2.1541835432999484e-07
vwap,180,Z-Score (3),0.0005593623614011842,-7.909195567117371e-08,0.7680189401123457,158,2.6767135481408056e-07
vwap,180,Winsorized,0.005976943252356496,1.8980405545048625e-07,0.3281489216577843,162,1.9351033245085055e-07
vwap,180,Abs (200k),0.0011440788565897733,3.680457826627571e-07,0.7091909579531259,124,9.845672253281885e-07
vwap,180,Abs (100k),0.012973045425303413,1.8646148395128368e-06,0.2616294574723827,99,1.6513791849303876e-06
vwap,180,MAD (3),0.0036104988733168175,-4.888649484564373e-07,0.48712169103373093,136,7.015642734092035e-07
vwap,180,Pctl (5%-95%),0.007862315055101748,-4.3893479056401784e-07,0.2905818284679537,144,4.137772266805305e-07
vwap,240,Raw,0.0570790840268929,4.454172771335028e-07,0.008312917419434747,121,1.6595590697324148e-07
vwap,240,IQR (1.5x),0.06799860820937943,-1.47121807144835e-06,0.0059329911812655385,110,5.241112015002316e-07
vwap,240,Pctl (1%-99%),0.01468221158262031,-3.535990933926982e-07,0.1931268442470008,117,2.7011869643669754e-07
vwap,240,Z-Score (3),0.014570477425660033,-3.483079965984816e-07,0.1909888475683407,119,2.648173332411229e-07
vwap,240,Winsorized,0.001081474850561643,8.719684188318491e-08,0.7202792434580179,121,2.4293164810748887e-07
vwap,240,Abs (200k),0.00397482542414009,7.178934493208859e-07,0.568855899258428,84,1.2549580029962007e-06
vwap,240,Abs (100k),0.021154758471836774,3.3101859479152534e-06,0.2717020091591927,59,2.982414102152419e-06
vwap,240,MAD (3),0.03332597164703564,-1.1611316811098892e-06,0.061069041559220376,106,6.132159184845799e-07
vwap,240,Pctl (5%-95%),0.013103989828128031,-5.16488371351128e-07,0.2403668449076965,107,4.3742119360020844e-07
vwap,360,Raw,0.018793390708365703,2.7682746985791526e-07,0.22231496112414562,81,2.2504703674743417e-07
vwap,360,IQR (1.5x),0.10415859641854779,-1.6897381701966125e-06,0.005692554522318528,72,5.922954555095932e-07
vwap,360,Pctl (1%-99%),0.009892622787572497,-2.1013244838531593e-07,0.383148896072116,79,2.3957041306676296e-07
vwap,360,Z-Score (3),0.01869416770862718,-3.526531667316897e-07,0.23261249084279306,78,2.9308265335924734e-07
vwap,360,Winsorized,0.011584084675518913,2.2586521090949044e-07,0.33887495703500015,81,2.34733352240455e-07
vwap,360,Abs (200k),0.0021364526292077758,5.54578508848829e-07,0.7524819178610294,49,1.748248046952477e-06
vwap,360,Abs (100k),0.030415610599611294,5.882307778033804e-06,0.4261010636347381,23,7.24740672147453e-06
vwap,360,MAD (3),0.025584515329115712,-1.0421754614973925e-06,0.19952612377672638,66,8.039598261947475e-07
